SN,CPU Temp. [C],CPU % Load,Virtual Memory [mB] (%)
0,40.084,23.8,Used: 122.7/925.8 (18.9)
1,40.084,3.5,Used: 122.9/925.8 (18.9)
2,40.084,3.1,Used: 122.9/925.8 (18.9)
3,40.622,3.3,Used: 122.9/925.8 (18.9)
4,41.16,1.6,Used: 122.9/925.8 (18.9)
5,40.084,2.7,Used: 122.9/925.8 (18.9)
6,40.084,3.1,Used: 122.9/925.8 (18.9)
7,40.084,3.3,Used: 122.9/925.8 (18.9)
8,40.622,3.1,Used: 122.9/925.8 (18.9)
9,40.084,3.5,Used: 122.9/925.8 (18.9)
10,40.084,3.3,Used: 122.8/925.8 (18.9)
11,40.084,4.1,Used: 122.8/925.8 (18.9)
12,40.084,2.9,Used: 122.8/925.8 (18.9)
13,40.084,3.3,Used: 122.8/925.8 (18.9)
14,40.622,3.1,Used: 122.8/925.8 (18.9)
15,41.16,1.9,Used: 122.8/925.8 (18.9)
16,41.16,1.6,Used: 122.8/925.8 (18.9)
17,40.622,3.1,Used: 122.8/925.8 (18.9)
18,40.084,3.7,Used: 122.8/925.8 (18.9)
19,40.084,1.6,Used: 122.8/925.8 (18.9)
20,40.084,3.1,Used: 122.8/925.8 (18.9)
21,40.084,3.1,Used: 122.9/925.8 (18.9)
22,40.622,3.3,Used: 122.9/925.8 (18.9)
23,40.084,3.5,Used: 122.9/925.8 (18.9)
24,40.084,3.3,Used: 122.9/925.8 (18.9)
25,40.622,3.9,Used: 122.9/925.8 (18.9)
26,40.084,3.5,Used: 122.9/925.8 (18.9)
27,40.622,3.1,Used: 122.9/925.8 (18.9)
28,40.084,3.1,Used: 122.9/925.8 (18.9)
29,40.084,2.9,Used: 122.9/925.8 (18.9)
30,40.084,3.3,Used: 122.9/925.8 (18.9)
31,41.16,3.5,Used: 122.9/925.8 (18.9)
32,40.084,2.3,Used: 122.9/925.8 (18.9)
33,40.622,3.3,Used: 122.9/925.8 (18.9)
