SN,CPU Temp. [C],CPU % Load,Virtual Memory [mB] (%)
0,40.622,26.1,Used: 175.5/925.8 (24.9)
1,40.622,5.4,Used: 175.7/925.8 (24.9)
2,40.622,17.3,Used: 177.1/925.8 (25.1)
3,41.16,16.3,Used: 177.1/925.8 (25.1)
4,40.622,19.3,Used: 177.6/925.8 (25.1)
5,40.622,14.2,Used: 177.6/925.8 (25.1)
6,41.16,3.3,Used: 177.5/925.8 (25.1)
7,40.084,2.8,Used: 177.5/925.8 (25.1)
8,41.16,14.1,Used: 177.7/925.8 (25.1)
9,40.622,18.9,Used: 177.7/925.8 (25.1)
10,40.622,2.8,Used: 177.5/925.8 (25.1)
11,41.16,15.9,Used: 177.6/925.8 (25.1)
12,41.16,17.1,Used: 177.5/925.8 (25.1)
13,41.16,11.6,Used: 177.7/925.8 (25.1)
14,41.16,21.2,Used: 177.9/925.8 (25.1)
15,41.16,6.3,Used: 177.7/925.8 (25.1)
16,41.698,21.5,Used: 177.8/925.8 (25.1)
17,41.16,8.4,Used: 177.7/925.8 (25.1)
18,41.16,15.1,Used: 177.7/925.8 (25.1)
19,41.16,16.0,Used: 177.7/925.8 (25.1)
20,41.16,13.7,Used: 177.9/925.8 (25.1)
21,40.622,15.0,Used: 178.1/925.8 (25.2)
22,42.236,10.5,Used: 177.8/925.8 (25.1)
23,41.16,22.1,Used: 177.8/925.8 (25.1)
24,41.16,6.4,Used: 177.7/925.8 (25.1)
25,41.698,15.1,Used: 177.7/925.8 (25.1)
26,41.16,16.3,Used: 177.6/925.8 (25.1)
27,41.698,20.6,Used: 177.8/925.8 (25.1)
28,41.16,10.5,Used: 177.9/925.8 (25.1)
29,40.622,4.2,Used: 177.8/925.8 (25.1)
30,41.16,5.7,Used: 177.8/925.8 (25.1)
